unique_id,year,team,games,o_pts_pg,o_ty_pg,o_py,o_ry,o_fd_g,o_3rdm,o_3rdpct,o_4thm,o_4thpct,o_pen,o_penyds,o_top,d_pts_pg,d_ty_pg,d_py,d_ry,d_int,d_inttd,stp_n,stp_avg,str_pr,str_pr_yds,str_pr_avg,str_kr,str_kr_yds,str_kr_avg
2011_Ball St.,2011,Ball St.,12,25.3,379.4,241,138.4166667,21,72,41.1,9,60,4.5,35.5,0.998611111,34.7,510.3,284.3333333,226,0.833333333,0,5.5,42.8,0.666666667,7.25,10.9,4.666666667,97.83333333,21
2011_Miami (FL),2011,Miami (FL),12,26.5,377.8,232.0833333,145.6666667,18.3,63,42.6,8,47.1,5.75,42.33333333,0.373611111,20.1,359.9,198,161.9166667,0.5,0.083333333,4,42.7,0.916666667,10.08333333,11,3.5,76.25,21.8
2011_Iowa St.,2011,Iowa St.,12,23.5,392.8,211.6666667,181.1666667,21.2,87,41.8,15,55.6,7,54.58333333,0.738888889,29.6,432.3,237.1666667,195.1666667,0.916666667,0.083333333,5.333333333,42.7,1.083333333,7.25,6.7,4.916666667,116.5,23.7
2011_Colorado,2011,Colorado,13,19.8,346.3,237.6153846,108.6923077,18.5,68,36,8,47.1,7.923076923,66.61538462,0.987179487,36.5,439.3,255.3846154,183.9230769,0.538461538,0,5.692307692,42.6,1,4.307692308,4.3,5.230769231,98.53846154,18.8
2011_Cincinnati,2011,Cincinnati,12,33.5,393.3,218.25,175,19.6,65,38.7,6,46.2,5.166666667,46,0.913888889,20,361.5,268.9166667,92.58333333,1.166666667,0.25,4.75,42.5,1.916666667,15.66666667,8.2,3.916666667,88.41666667,22.6
2011_BYU,2011,BYU,12,30.6,410.8,245,165.8333333,24,90,52.9,5,41.7,5.833333333,49.41666667,0.8,20.3,316.8,198.0833333,118.75,1.083333333,0.083333333,3.25,42.3,1.833333333,19.25,10.5,3.666666667,85.83333333,23.4
2011_Wisconsin,2011,Wisconsin,13,44.6,466.9,229.5384615,237.3846154,23.3,85,54.1,7,77.8,4.846153846,40.38461538,1.112820513,17,293,155,138,1.153846154,0,3.384615385,42.1,1.538461538,23.53846154,15.3,3.230769231,68.15384615,21.1
2011_Duke,2011,Duke,12,22.5,366.3,272.1666667,94.08333333,19.6,74,39.2,22,61.1,4.666666667,38.91666667,0.727777778,31.2,425.4,244.75,180.6666667,0.5,0.083333333,4.166666667,42.1,2.083333333,18.83333333,9,5.25,107.1666667,20.4
2011_Memphis,2011,Memphis,12,16.3,274.3,190.25,84,15.2,56,30.4,4,36.4,4.75,43.58333333,0.986111111,35.1,491,299.4166667,191.5833333,1,0.083333333,7.916666667,42,0.833333333,7.75,9.3,5.583333333,100.8333333,18.1
2011_Mississippi St.,2011,Mississippi St.,12,25.5,355.1,186.25,168.8333333,18.9,67,38.7,9,52.9,5.416666667,43.25,0.416666667,19.9,355.9,194.9166667,161,1,0.166666667,5.5,41.9,2,24,12,3.166666667,56.08333333,17.7
2011_Nevada,2011,Nevada,12,32.9,522.8,271,251.8333333,27.4,86,49.1,10,52.6,7.083333333,58.5,0.841666667,25.3,372,226.5833333,145.4166667,1.25,0.083333333,4,41.9,2.083333333,25.33333333,12.2,4.25,90.75,21.4
2011_Florida Atlantic,2011,Florida Atlantic,12,12.9,248.8,143.0833333,105.6666667,14.7,48,28.9,9,42.9,7.583333333,67.75,0.715277778,34.7,392.3,223.3333333,168.9166667,0.833333333,0.083333333,6.25,41.9,1.416666667,5.666666667,4,5.333333333,107.3333333,20.1
2011_Boise St.,2011,Boise St.,12,43.3,483.1,310.3333333,172.75,25.6,85,51.5,14,60.9,5.25,46.58333333,1.365277778,18.3,315.6,195.5,120.0833333,1.166666667,0,3.5,41.8,2.833333333,33.66666667,11.9,2.25,47.08333333,20.9
2011_Arizona St.,2011,Arizona St.,12,33.9,450.9,310.1666667,140.75,23.9,66,40,10,58.8,7.833333333,78.75,1.104166667,26.3,419.5,271.25,148.25,1.083333333,0.083333333,4.666666667,41.8,1.5,23,15.3,5.083333333,122.5833333,24.1
2011_Tulane,2011,Tulane,13,21.1,340.3,214,126.3076923,17.5,75,37.7,10,47.6,5.692307692,49.76923077,0.693589744,37.5,410.3,245.3846154,164.9230769,1,0.230769231,5.769230769,41.7,1.692307692,15.76923077,9.3,6.384615385,128.2307692,20.1
2011_Vanderbilt,2011,Vanderbilt,12,26.9,342.8,175.1666667,167.5833333,17.4,57,34.5,14,77.8,6.25,51.16666667,1.276388889,20.8,324.6,201.5833333,123,1.416666667,0.333333333,5,41.7,2,12.41666667,6.2,4,90.58333333,22.6
